id_ato_linkado,pdf,status_validacao,motivo_falha
12_16.1.2019-R29,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R30,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R31,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R32,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R33,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R34,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R35,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R36,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R37,DODF 011 16-01-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_16.1.2019-R38,DODF 011 16-01-2019 INTEGRA.pdf,invalidado,Valor (24600000) E Processo (11300030458201862) não encontrados no PDF
12_22.11.2018-R1,DODF 222 22-11-2018 INTEGRA.pdf,invalidado,Valor (3960000) E Processo (0007000016600201876) não encontrados no PDF
12_22.11.2018-R2,DODF 222 22-11-2018 INTEGRA.pdf,invalidado,Valor (6600000) E Processo (0007000016822201899) não encontrados no PDF
12_22.11.2018-R4,DODF 222 22-11-2018 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
12_22.11.2018-R5,DODF 222 22-11-2018 INTEGRA.pdf,invalidado,Valor (313530) E Processo (03910011192016) não encontrados no PDF
12_22.11.2018-R6,DODF 222 22-11-2018 INTEGRA.pdf,invalidado,Valor (850000) E Processo (0039100007815201864) não encontrados no PDF
12_22.11.2018-R7,DODF 222 22-11-2018 INTEGRA.pdf,invalidado,Valor (4962000) E Processo (0036700001224201826) não encontrados no PDF
13_26.11.2019-R10,DODF 224 26-11-2019 INTEGRA.pdf,invalidado,Valor (88300000) E Processo (0011200030217201841) não encontrados no PDF
13_26.11.2019-R12,DODF 224 26-11-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
13_26.11.2019-R6,DODF 224 26-11-2019 INTEGRA.pdf,invalidado,Valor (8049996) E Processo (0010008072018) não encontrados no PDF
13_26.11.2019-R7,DODF 224 26-11-2019 INTEGRA.pdf,invalidado,Valor (26638) E Processo (0041300004525201935) não encontrados no PDF
13_26.11.2019-R9,DODF 224 26-11-2019 INTEGRA.pdf,invalidado,Valor (35550200) E Processo (0005400032771201995) não encontrados no PDF
15_28.11.2019-R18,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,Valor (21284030) E Processo (0014200002158201991) não encontrados no PDF
15_28.11.2019-R19,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,"Valor OK (100000), mas N° Processo (0400600000019201993) não encontrado"
15_28.11.2019-R20,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,Valor (741957) E Processo (0400600000086201916) não encontrados no PDF
15_28.11.2019-R21,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,Valor (1068000) E Processo (0400600000086201916) não encontrados no PDF
15_28.11.2019-R22,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,Valor (138000) E Processo (0400600000086201916) não encontrados no PDF
15_28.11.2019-R23,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,Valor (630000) E Processo (0400600000086201916) não encontrados no PDF
15_28.11.2019-R24,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,Valor (795000) E Processo (0400600000086201916) não encontrados no PDF
15_28.11.2019-R25,DODF 226 28-11-2019 INTEGRA.pdf,invalidado,Valor (615800) E Processo (0400600000086201916) não encontrados no PDF
15_28.11.2019-R27,DODF 226 28-11-2019 INTEGRA.pdf,invalidado_extrato_ruim,Não foi possível extrair N° do Processo do extrato
